GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_VC02,Households; NUMBER - Total
HC03_VC02,Families - Total; NUMBER - Total
HC04_VC02,Families - Married- couple families; NUMBER - Total
HC05_VC02,"Families - Female householder, no husband present; NUMBER - Total"
HC06_VC02,Nonfamily households; NUMBER - Total
HC01_VC03,"Households; NUMBER - Total - Less than $10,000"
HC03_VC03,"Families - Total; NUMBER - Total - Less than $10,000"
HC04_VC03,"Families - Married- couple families; NUMBER - Total - Less than $10,000"
HC05_VC03,"Families - Female householder, no husband present; NUMBER - Total - Less than $10,000"
HC06_VC03,"Nonfamily households; NUMBER - Total - Less than $10,000"
HC01_VC04,"Households; NUMBER - Total - $10,000 to $14,999"
HC03_VC04,"Families - Total; NUMBER - Total - $10,000 to $14,999"
HC04_VC04,"Families - Married- couple families; NUMBER - Total - $10,000 to $14,999"
HC05_VC04,"Families - Female householder, no husband present; NUMBER - Total - $10,000 to $14,999"
HC06_VC04,"Nonfamily households; NUMBER - Total - $10,000 to $14,999"
HC01_VC05,"Households; NUMBER - Total - $15,000 to $19,999"
HC03_VC05,"Families - Total; NUMBER - Total - $15,000 to $19,999"
HC04_VC05,"Families - Married- couple families; NUMBER - Total - $15,000 to $19,999"
HC05_VC05,"Families - Female householder, no husband present; NUMBER - Total - $15,000 to $19,999"
HC06_VC05,"Nonfamily households; NUMBER - Total - $15,000 to $19,999"
HC01_VC06,"Households; NUMBER - Total - $20,000 to $24,999"
HC03_VC06,"Families - Total; NUMBER - Total - $20,000 to $24,999"
HC04_VC06,"Families - Married- couple families; NUMBER - Total - $20,000 to $24,999"
HC05_VC06,"Families - Female householder, no husband present; NUMBER - Total - $20,000 to $24,999"
HC06_VC06,"Nonfamily households; NUMBER - Total - $20,000 to $24,999"
HC01_VC07,"Households; NUMBER - Total - $25,000 to $29,999"
HC03_VC07,"Families - Total; NUMBER - Total - $25,000 to $29,999"
HC04_VC07,"Families - Married- couple families; NUMBER - Total - $25,000 to $29,999"
HC05_VC07,"Families - Female householder, no husband present; NUMBER - Total - $25,000 to $29,999"
HC06_VC07,"Nonfamily households; NUMBER - Total - $25,000 to $29,999"
HC01_VC08,"Households; NUMBER - Total - $30,000 to $34,999"
HC03_VC08,"Families - Total; NUMBER - Total - $30,000 to $34,999"
HC04_VC08,"Families - Married- couple families; NUMBER - Total - $30,000 to $34,999"
