GEOid,GEOid2,GEOdisplay_label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38
1400000US36047000100,36047000100,"Census Tract 1, Kings County, New York",2120,154,120502,17935,83.3,6.3,119547,19960,44.1,7.8,10447,3624,27.1,6.4,19053,3367,2.2,2.2,7289,5275,1.8,2.0,7903,7687,23.0,6.9,43091,10529,923,179,159789,28785,3.1,4.1,N,N,19.3,10.8,N,N,59.6,13.1,N,N,11.4,7.7,N,N,6.6,6.0,N,N,0.0,3.7,N,N,4576,552,56603,9463,70.9,5.9,63921,11302,9.8,2.9,32696,12316,1.2,1.2,19375,11544,7.5,4.1,69578,33509,0.0,0.8,-,**,7.7,3.2,19146,6276,2.9,2.2,39926,39077,15.1,4.7,35758,10666,65.2,5.6,64505,12327,14.3,(X),(X),(X),16.1,(X),(X),(X),11.3,(X),(X),(X)
1400000US36047000200,36047000200,"Census Tract 2, Kings County, New York",308,70,68664,24914,79.9,17.3,76109,32859,13.6,14.0,3640,4557,24.7,17.2,13209,6344,0.0,10.7,-,**,13.3,14.3,4271,1745,15.6,15.0,9133,5261,251,70,74754,29782,10.8,16.1,N,N,31.9,14.5,N,N,47.0,18.9,N,N,0.0,13.0,N,N,10.4,12.8,N,N,0.0,13.0,N,N,1014,313,21339,11592,36.9,18.7,9971,2500,11.6,11.0,60407,66614,0.0,3.4,-,**,10.9,11.7,25985,25808,0.0,3.4,-,**,38.8,18.8,19724,6239,1.8,2.7,N,N,81.4,14.6,21713,11622,3.2,4.0,16153,6469,39.9,(X),(X),(X),39.4,(X),(X),(X),25.0,(X),(X),(X)
1400000US36047000301,36047000301,"Census Tract 3.01, Kings County, New York",2234,161,243917,46837,90.7,5.0,239048,48371,50.6,5.9,39973,19637,17.4,5.4,14757,4120,0.0,1.6,-,**,0.0,1.6,-,**,11.2,5.0,29218,9919,1052,197,368326,78811,2.4,2.8,N,N,22.6,11.6,N,N,65.7,11.8,N,N,0.0,3.3,N,N,9.3,4.2,N,N,0.0,3.3,N,N,4835,699,115332,18007,81.1,7.3,117472,21298,5.6,3.3,262975,187002,0.0,0.7,-,**,6.2,3.3,56730,16427,0.2,0.3,N,N,2.0,1.9,31646,41595,4.8,4.3,22699,36525,5.9,2.9,85609,36433,78.5,7.3,117037,22028,18.2,(X),(X),(X),32.1,(X),(X),(X),13.3,(X),(X),(X)
1400000US36047000501,36047000501,"Census Tract 5.01, Kings County, New York",1853,165,160610,35217,85.6,5.2,170913,36646,42.3,7.5,16943,10286,14.0,5.0,13550,2453,3.9,2.7,6995,2790,2.8,2.7,4622,4258,7.2,3.7,24869,9641,713,170,264652,72096,5.5,4.9,N,N,22.2,9.9,N,N,57.2,13.3,N,N,8.3,5.9,N,N,6.9,10.5,N,N,0.0,4.8,N,N,3377,448,87852,15518,87.1,5.0,91704,18347,3.0,2.2,83469,73327,0.6,1.2,N,N,4.0,2.6,100207,54929,0.0,1.0,-,**,1.9,2.7,N,N,3.4,2.1,15943,19143,10.9,5.3,29615,12622,78.1,6.9,98893,20256,17.7,(X),(X),(X),22.9,(X),(X),(X),13.5,(X),(X),(X)
1400000US36047000502,36047000502,"Census Tract 5.02, Kings County, New York",1592,106,129703,25525,81.7,5.5,127097,30400,51.3,10.3,17752,7170,21.6,5.9,19517,3523,1.3,2.0,9270,10,1.6,2.4,10356,8,17.9,6.1,55900,45135,542,134,188234,60538,6.8,8.1,N,N,29.5,14.1,N,N,52.0,16.1,N,N,8.5,8.1,N,N,3.1,4.6,N,N,0.0,6.2,N,N,2722,372,77550,14997,87.2,6.3,80611,16660,2.7,1.9,22991,16432,0.0,1.3,-,**,4.2,2.6,83976,46499,0.0,1.3,-,**,0.0,1.3,-,**,5.9,4.9,N,N,3.9,4.1,250547,213270,83.8,6.8,72622,12252,18.3,(X),(X),(X),19.2,(X),(X),(X),16.0,(X),(X),(X)
1400000US36047000700,36047000700,"Census Tract 7, Kings County, New York",1717,147,229386,48611,92.4,3.8,227883,46878,48.2,8.2,28719,8787,11.2,4.9,21318,6983,0.0,2.0,-,**,1.3,1.5,5674,622,7.3,3.2,25749,14843,808,142,320762,95258,6.1,4.1,146153,51482,22.0,10.1,298054,186903,57.8,10.7,345567,143410,5.6,5.9,153416,29643,8.5,5.0,444597,160239,0.0,4.2,-,**,3479,416,111978,22586,86.7,5.6,113376,24845,3.4,2.2,143880,74060,0.0,1.0,-,**,5.4,4.1,66876,35221,0.0,1.0,-,**,0.3,0.5,N,N,4.2,2.9,120590,80531,13.0,4.9,122763,48265,74.4,6.1,110999,24886,17.1,(X),(X),(X),18.2,(X),(X),(X),14.2,(X),(X),(X)
1400000US36047000900,36047000900,"Census Tract 9, Kings County, New York",2076,91,177056,46126,84.9,5.2,179131,33451,29.3,5.5,63220,77402,12.6,4.5,19865,1599,1.0,0.9,7743,2298,0.8,1.2,1300,5,12.1,4.7,26650,11749,885,150,303091,107022,8.7,5.4,38591,17631,15.8,8.4,685383,503689,62.7,9.7,245079,42065,6.0,5.5,60038,16903,6.8,4.5,501825,403108,0.0,3.9,-,**,4266,322,86919,22167,79.1,4.4,96672,27371,4.0,2.0,66016,40917,0.4,0.6,N,N,9.7,3.4,51298,24312,0.0,0.8,-,**,2.6,1.6,52913,45954,4.2,2.2,32927,17381,6.7,2.8,38223,13797,75.3,4.6,99460,28278,17.9,(X),(X),(X),18.1,(X),(X),(X),15.4,(X),(X),(X)
1400000US36047001100,36047001100,"Census Tract 11, Kings County, New York",56,46,65614,23495,100.0,41.1,61480,24698,0.0,41.1,-,**,0.0,41.1,-,**,0.0,41.1,-,**,17.9,30.8,10190,19,0.0,41.1,-,**,36,44,N,N,0.0,51.3,N,N,27.8,56.3,N,N,0.0,51.3,N,N,0.0,51.3,N,N,72.2,56.3,N,N,0.0,51.3,N,N,158,175,23600,12687,80.4,35.0,23467,13081,0.0,19.7,-,**,0.0,19.7,-,**,6.3,15.5,N,N,0.0,19.7,-,**,6.3,14.7,N,N,7.0,15.1,-,**,13.3,29.7,N,N,80.4,35.0,23467,13081,17.9,(X),(X),(X),0.0,(X),(X),(X),14.3,(X),(X),(X)
1400000US36047001300,36047001300,"Census Tract 13, Kings County, New York",941,73,103006,9998,80.8,7.2,101454,12135,42.3,9.4,13283,6954,21.3,6.8,20351,3962,0.0,3.6,-,**,0.0,3.6,-,**,24.3,7.0,42146,11041,366,82,133792,19766,2.2,3.1,N,N,20.5,14.9,N,N,61.2,19.4,N,N,6.6,7.4,N,N,0.0,9.1,N,N,9.6,14.0,N,N,2236,247,44129,5817,69.8,9.3,52708,6415,11.9,5.1,33005,12261,0.0,1.6,-,**,9.3,8.2,25032,13481,0.0,1.6,-,**,7.7,2.4,890,1665,1.3,1.3,78138,21443,12.7,3.6,21867,12209,64.8,9.1,52580,6421,16.3,(X),(X),(X),29.0,(X),(X),(X),8.7,(X),(X),(X)
1400000US36047001500,36047001500,"Census Tract 15, Kings County, New York",1083,148,69623,15654,69.9,8.2,86502,18550,15.8,7.6,15357,12979,26.1,7.0,12244,1416,3.8,3.7,9346,3252,1.6,1.7,2141,343,12.7,7.3,10953,4194,471,123,67288,23579,32.3,13.6,17500,6037,28.7,15.3,51485,17091,26.8,15.9,140879,49567,12.3,8.4,74679,39353,0.0,7.2,-,**,0.0,7.2,-,**,2246,380,34064,8998,28.8,10.4,52091,22292,40.8,11.1,21477,7375,0.0,1.5,-,**,21.8,11.0,41045,28207,0.0,1.5,-,**,7.7,3.7,13415,7927,0.9,1.4,N,N,16.3,7.5,10518,5795,20.8,7.3,68659,24315,18.7,(X),(X),(X),31.8,(X),(X),(X),15.1,(X),(X),(X)
