GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36
Id,Id2,Geography,Total; Estimate; All households,Total; Margin of Error; All households,Mean income (dollars); Estimate; All households,Mean income (dollars); Margin of Error; All households,Total; Estimate; All households - With earnings,Total; Margin of Error; All households - With earnings,Mean income (dollars); Estimate; All households - With earnings,Mean income (dollars); Margin of Error; All households - With earnings,"Total; Estimate; All households - With interest, dividends, or net rental income","Total; Margin of Error; All households - With interest, dividends, or net rental income","Mean income (dollars); Estimate; All households - With interest, dividends, or net rental income","Mean income (dollars); Margin of Error; All households - With interest, dividends, or net rental income",Total; Estimate; All households - With Social Security income,Total; Margin of Error; All households - With Social Security income,Mean income (dollars); Estimate; All households - With Social Security income,Mean income (dollars); Margin of Error; All households - With Social Security income,Total; Estimate; All households - With Supplemental Security Income (SSI),Total; Margin of Error; All households - With Supplemental Security Income (SSI),Mean income (dollars); Estimate; All households - With Supplemental Security Income (SSI),Mean income (dollars); Margin of Error; All households - With Supplemental Security Income (SSI),Total; Estimate; All households - With cash public assistance income,Total; Margin of Error; All households - With cash public assistance income,Mean income (dollars); Estimate; All households - With cash public assistance income,Mean income (dollars); Margin of Error; All households - With cash public assistance income,Total; Estimate; All households - With retirement income,Total; Margin of Error; All households - With retirement income,Mean income (dollars); Estimate; All households - With retirement income,Mean income (dollars); Margin of Error; All households - With retirement income,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,"Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other",Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Mean income (dollars); Estimate; Hispanic or Latino origin (of any race),Mean income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Mean income (dollars); Estimate; White alone, not Hispanic or Latino","Mean income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Mean income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Mean income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Individual income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Individual income in the past 12 months,Mean income (dollars); Estimate; PERCENT IMPUTED - Individual income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Individual income in the past 12 months
1400000US36047000100,36047000100,"Census Tract 1, Kings County, New York",2106,147,115989,17741,77.1,6.6,121604,19777,38.1,7.1,13455,5661,29.4,5.5,23228,3504,3.8,2.6,8950,6938,2.2,1.9,6933,7410,19.6,5.8,42975,13585,894,156,180971,31316,7.7,4.5,79359,44387,30.1,9.9,169263,57461,41.8,10.6,207855,53323,13.0,9.1,155574,111988,7.4,6.4,227218,66661,0.0,3.6,-,**,4610,442,54418,6977,76.6,6.0,61134,7976,6.7,3.1,23140,11141,1.1,1.3,21443,16770,6.8,3.2,61531,36628,0.0,0.7,-,**,5.6,3.6,23305,11828,3.2,2.8,9604,7972,11.3,4.7,43884,12525,72.5,6.3,60159,8596,20.9,(X),(X),(X),21.9,(X),(X),(X),15.4,(X),(X),(X)
1400000US36047000200,36047000200,"Census Tract 2, Kings County, New York",371,51,43800,9667,77.4,12.2,45076,9446,5.7,4.1,6624,6369,23.2,14.5,9071,2422,9.7,8.6,15828,5896,13.7,12.6,3751,1974,11.6,8.2,19730,8910,262,57,47004,9102,1.5,2.5,N,N,34.4,16.7,N,N,19.5,12.7,N,N,12.2,11.3,N,N,0.0,11.7,N,N,32.4,15.7,N,N,1612,332,10942,2132,31.2,14.3,11188,2864,10.0,7.7,8762,7861,0.0,2.0,-,**,0.0,2.0,-,**,0.0,2.0,-,**,58.0,16.4,11157,2707,0.8,0.9,12946,2578,85.9,9.6,10614,1862,6.9,6.1,16258,6734,56.6,(X),(X),(X),58.4,(X),(X),(X),37.4,(X),(X),(X)
1400000US36047000301,36047000301,"Census Tract 3.01, Kings County, New York",1946,187,200317,45343,81.4,7.2,215687,49950,48.2,8.3,27155,12879,30.0,7.4,15605,2846,0.0,1.7,-,**,0.0,1.7,-,**,14.8,7.1,29834,14929,808,192,360695,86597,5.6,5.8,N,N,19.8,10.0,N,N,63.1,12.5,N,N,3.6,4.1,N,N,7.9,5.9,N,N,0.0,3.9,N,N,4214,656,95782,17143,80.3,9.0,94769,13044,5.6,3.8,272892,240352,0.4,0.7,N,N,4.5,3.6,33385,15514,0.0,0.8,-,**,2.0,1.4,36768,38641,7.2,5.5,29122,34891,8.4,4.2,45574,25831,76.1,8.8,97805,13205,22.8,(X),(X),(X),27.8,(X),(X),(X),13.3,(X),(X),(X)
1400000US36047000501,36047000501,"Census Tract 5.01, Kings County, New York",1781,149,187404,32343,79.2,5.5,207672,38569,42.3,7.1,31805,18572,20.3,5.0,20419,3856,8.4,4.0,6209,1751,1.8,2.0,10009,6764,8.3,3.3,23461,9941,775,123,314923,72397,8.6,5.1,N,N,26.1,11.1,N,N,52.9,12.2,N,N,8.8,8.4,N,N,0.0,4.1,N,N,3.6,5.8,N,N,4400,468,77050,12580,78.8,6.0,90946,15318,6.8,3.9,19455,8718,0.0,0.7,-,**,9.0,4.5,37811,20945,0.0,0.7,-,**,1.6,1.6,3939,4597,3.8,2.5,15548,15422,5.1,2.7,32395,25634,75.7,6.4,92622,15976,24.3,(X),(X),(X),28.0,(X),(X),(X),25.0,(X),(X),(X)
1400000US36047000502,36047000502,"Census Tract 5.02, Kings County, New York",1439,122,131193,25771,81.6,6.9,134277,29855,42.2,9.3,15744,7907,21.2,4.3,20357,3872,2.4,2.8,12423,2710,1.5,1.9,8868,3505,19.2,6.2,48962,39783,540,126,191853,62040,7.0,6.2,N,N,21.7,12.6,N,N,62.0,12.8,N,N,5.7,5.2,N,N,3.5,5.1,N,N,0.0,5.8,N,N,2543,293,75096,12719,82.0,6.2,80962,15123,2.6,2.1,25603,30089,0.0,1.3,-,**,7.1,3.9,66076,31987,0.0,1.3,-,**,2.5,2.2,19778,13039,5.9,4.4,49587,45271,7.0,5.9,140012,117481,77.5,7.0,73700,13622,14.8,(X),(X),(X),6.7,(X),(X),(X),13.6,(X),(X),(X)
1400000US36047000700,36047000700,"Census Tract 7, Kings County, New York",1900,152,228301,39050,92.6,3.5,220616,39354,43.9,7.2,33801,14457,18.3,5.8,18446,4504,0.6,0.9,12125,9,0.5,0.8,-,**,9.8,4.2,44996,27395,847,139,303268,63773,2.4,2.7,N,N,35.7,10.0,N,N,46.9,10.0,N,N,8.3,6.4,N,N,6.8,4.6,N,N,0.0,3.8,N,N,3827,341,113611,18692,89.9,3.5,116109,22207,1.3,1.0,156304,135952,0.0,0.8,-,**,4.1,2.1,72469,33970,0.0,0.8,-,**,0.5,0.5,18661,14840,4.3,2.6,97640,93927,7.2,3.1,154432,88044,83.0,4.4,112502,22171,16.1,(X),(X),(X),13.2,(X),(X),(X),13.4,(X),(X),(X)
1400000US36047000900,36047000900,"Census Tract 9, Kings County, New York",2050,95,168716,21844,89.5,4.6,174851,25366,34.7,6.4,14757,5974,12.1,4.8,19156,2549,1.0,1.1,5652,2431,0.3,0.4,2517,28,9.7,4.7,38141,18269,897,146,253530,45686,2.7,2.7,N,N,19.8,8.1,N,N,71.5,9.9,N,N,2.2,2.7,N,N,3.8,4.7,N,N,0.0,3.6,N,N,4351,396,81107,10395,76.1,4.6,92001,13732,5.2,2.4,27722,13701,0.0,0.7,-,**,9.5,3.0,57522,16104,0.0,0.7,-,**,4.1,2.9,28550,23988,5.1,2.0,59348,32970,7.2,3.2,36190,19285,74.0,4.5,93069,14194,16.6,(X),(X),(X),11.7,(X),(X),(X),19.5,(X),(X),(X)
1400000US36047001100,36047001100,"Census Tract 11, Kings County, New York",313,31,123640,14199,100.0,9.9,122310,14307,12.5,6.9,885,1016,0.0,9.9,-,**,0.0,9.9,-,**,5.4,5.5,16588,7498,1.3,2.4,20100,5,136,35,135533,24183,0.0,21.1,N,N,21.3,13.6,N,N,72.1,12.6,N,N,6.6,10.3,N,N,0.0,21.1,N,N,0.0,21.1,N,N,580,69,66722,8724,58.6,14.3,69817,11432,13.3,7.5,68564,33443,3.4,4.1,N,N,14.5,9.1,61894,11313,0.0,5.4,-,**,9.3,6.4,64941,11448,0.9,1.7,N,N,8.6,6.0,67250,19295,57.2,14.1,69249,11842,21.7,(X),(X),(X),22.8,(X),(X),(X),26.4,(X),(X),(X)
1400000US36047001300,36047001300,"Census Tract 13, Kings County, New York",883,70,127360,14672,83.6,5.7,114255,13305,45.1,8.2,30373,32568,25.0,5.6,23669,4522,0.6,1.0,3300,31,0.6,0.9,460,33,20.2,5.6,54979,16136,374,62,141537,17659,5.3,4.2,N,N,28.6,8.8,N,N,55.9,11.4,N,N,0.0,8.3,N,N,4.3,4.5,N,N,5.9,7.3,N,N,2561,298,44725,7108,64.3,7.3,53814,9786,11.8,3.6,32646,13023,0.0,1.3,-,**,12.3,5.1,36699,12970,0.0,1.3,-,**,10.2,4.5,9110,7090,1.5,1.3,56763,34459,15.1,4.6,19491,8382,60.6,6.9,54346,10211,18.7,(X),(X),(X),24.3,(X),(X),(X),9.0,(X),(X),(X)
