Borough,District,Number,Tract,Total,White,Black_African_American,American_Indian_and_Alaska_Native,Asian,Native_Hawaiian_and_Other_Pacific_Islander,Some_Other_Race,Multiple,Hispanic
Brooklyn,047,3,000301,"4,259","3,483",177,3,237,0,10,103,246
Brooklyn,047,3,000501,"4,247","3,067",276,19,432,1,15,125,312
Brooklyn,047,3,000502,"2,512","1,985",109,3,183,0,7,63,162
Brooklyn,047,3,000700,"3,359","2,675",96,1,195,0,9,100,283
Brooklyn,047,3,000900,"4,172","2,834",193,1,632,2,22,163,325
Brooklyn,047,3,001100,84,31,13,0,10,0,0,2,28
Brooklyn,047,3,001300,"2,275","1,344",334,1,243,0,4,38,311
Brooklyn,047,3,001500,"3,521",989,"1,209",21,399,0,12,80,811
Brooklyn,047,3,001800,"2,105",269,584,3,33,2,0,15,"1,199"
Brooklyn,047,3,002000,"1,672",53,50,4,77,0,4,11,"1,473"
Brooklyn,047,3,002100,"3,604","2,601",199,5,339,2,13,130,315
Brooklyn,047,3,002200,"4,613",785,198,17,535,1,20,55,"3,002"
Brooklyn,047,3,002300,"4,247",32,"2,231",6,649,8,13,60,"1,248"
Brooklyn,047,3,002901,"3,218",65,"1,822",18,293,1,4,48,967
Brooklyn,047,3,003000,"1,730","1,089",39,1,257,0,1,48,295
Brooklyn,047,3,003100,"2,472",532,"1,127",3,416,1,8,112,273
Brooklyn,047,3,003300,"2,327","1,145",521,2,204,2,11,93,349
Brooklyn,047,3,003400,"3,047","2,033",21,2,515,0,1,55,420
Brooklyn,047,3,003500,"1,554",580,628,16,110,0,3,54,163
Brooklyn,047,3,003600,"3,804","2,477",57,2,636,1,10,80,541
Brooklyn,047,3,003700,390,165,66,1,54,1,1,48,54
Brooklyn,047,3,003800,"1,498","1,168",14,0,159,0,7,33,117
Brooklyn,047,3,003900,"2,229","1,138",335,4,227,0,14,105,406
Brooklyn,047,3,004100,"3,598","2,388",430,4,219,0,19,90,448
Brooklyn,047,3,004300,"3,008","1,887",219,5,254,1,11,95,536
Brooklyn,047,3,004400,"2,359","2,081",15,0,140,0,0,18,105
Brooklyn,047,3,004500,"3,325","2,765",66,1,186,1,14,74,218
Brooklyn,047,3,004600,"1,199",999,8,1,77,1,4,9,100
Brooklyn,047,3,004700,"1,445",729,184,5,92,0,14,63,358
Brooklyn,047,3,004900,"2,516","1,692",243,2,182,0,15,64,318
Brooklyn,047,3,005000,"2,276","1,902",9,0,125,2,4,36,198
Brooklyn,047,3,005100,"2,171","1,411",78,0,153,1,3,64,461
Brooklyn,047,3,005201,"1,829","1,518",13,2,158,1,0,26,111
Brooklyn,047,3,005202,"2,481","2,112",22,0,120,1,1,46,179
Brooklyn,047,3,005300,"1,888","1,005",171,2,45,0,23,51,591
Brooklyn,047,3,005400,"3,139","2,321",39,4,337,0,10,48,380
Brooklyn,047,3,005601,"2,505","2,070",19,2,138,1,1,28,246
Brooklyn,047,3,005602,"1,586","1,287",12,1,124,1,4,35,122
Brooklyn,047,3,005800,"3,152","2,296",34,9,299,2,17,72,423
Brooklyn,047,3,005900,"1,384",646,222,4,34,2,0,27,449
Brooklyn,047,3,006000,"2,826","1,712",41,2,364,1,7,77,622
Brooklyn,047,3,006200,"2,853","1,937",44,1,371,0,5,51,444
Brooklyn,047,3,006300,"1,892","1,496",30,1,108,2,15,52,188
Brooklyn,047,3,006400,"3,478","2,403",60,2,347,0,43,63,560
Brooklyn,047,3,006500,"5,191","4,278",61,7,193,2,12,137,501
Brooklyn,047,3,006600,"3,663","2,417",46,3,385,0,10,100,702
Brooklyn,047,3,006700,"3,301","2,762",45,0,123,0,7,105,259
Brooklyn,047,3,006800,"4,870","2,449",109,6,848,0,21,133,"1,304"
Brooklyn,047,3,006900,"3,537","2,443",109,3,232,3,10,125,612
Brooklyn,047,3,007000,"2,344","1,349",115,6,384,0,4,48,438
Brooklyn,047,3,007100,"4,495",822,"1,619",7,196,0,12,77,"1,762"
Brooklyn,047,3,007200,"1,946",226,33,0,518,0,5,26,"1,138"
Brooklyn,047,3,007400,"5,451",353,70,10,"1,328",0,2,39,"3,649"
Brooklyn,047,3,007500,"4,383","3,463",65,2,205,2,24,114,508
Brooklyn,047,3,007600,"4,412",421,75,6,706,1,27,26,"3,150"
Brooklyn,047,3,007700,"3,901","3,006",98,7,281,1,10,99,399
Brooklyn,047,3,007800,"5,068",319,146,8,498,0,11,59,"4,027"
Brooklyn,047,3,008000,"4,169",435,82,6,320,0,19,28,"3,279"
Brooklyn,047,3,008200,"4,141",543,134,8,387,1,12,36,"3,020"
Brooklyn,047,3,008400,"3,299",532,80,3,200,0,7,46,"2,431"
Brooklyn,047,3,008500,"6,956",89,"3,310",30,126,2,6,62,"3,331"
Brooklyn,047,3,008600,0,0,0,0,0,0,0,0,0
Brooklyn,047,3,008800,"3,207",739,56,12,285,0,12,65,"2,038"
Brooklyn,047,3,009000,"2,994",324,60,1,"1,303",1,7,29,"1,269"
Brooklyn,047,3,009200,"5,388",667,128,10,"2,245",8,5,83,"2,242"
Brooklyn,047,3,009400,"5,805","1,114",67,15,"3,443",4,15,51,"1,096"
Brooklyn,047,3,009600,"6,126",668,105,15,"1,604",2,12,55,"3,665"
Brooklyn,047,3,009800,"7,024",380,84,5,"2,858",0,7,55,"3,635"
Brooklyn,047,3,010000,"6,737",575,82,9,"3,506",3,32,87,"2,443"
Brooklyn,047,3,010100,"4,093","1,055",112,6,207,3,32,74,"2,604"
Brooklyn,047,3,010200,"5,622",513,51,2,"3,569",1,9,69,"1,408"
Brooklyn,047,3,010400,"5,908",478,46,7,"4,898",0,5,102,372
Brooklyn,047,3,010600,"5,851",300,36,11,"4,744",1,10,50,699
Brooklyn,047,3,010800,"5,280",589,43,10,"3,846",0,9,33,750
Brooklyn,047,3,011000,"2,441",441,38,0,770,2,0,33,"1,157"
Brooklyn,047,3,011200,"6,436","2,597",125,12,"1,434",0,27,62,"2,179"
Brooklyn,047,3,011400,"3,976","2,259",194,1,805,0,37,70,610
Brooklyn,047,3,011600,"4,816",653,31,2,"3,646",1,30,30,423
Brooklyn,047,3,011700,"2,364","1,011",119,8,171,0,23,53,979
Brooklyn,047,3,011800,"2,253",231,7,1,"1,756",0,1,17,240
Brooklyn,047,3,011900,"1,530",910,117,4,69,0,8,26,396
Brooklyn,047,3,012000,"1,268",108,2,0,"1,020",0,0,3,135
Brooklyn,047,3,012100,"1,619",836,83,1,102,0,3,52,542
Brooklyn,047,3,012200,"5,339",713,51,5,"2,099",0,5,42,"2,424"
Brooklyn,047,3,012600,"2,652","1,064",60,0,900,0,11,81,536
Brooklyn,047,3,012700,"3,507",720,"1,119",12,127,1,6,72,"1,450"
Brooklyn,047,3,012801,"2,117",684,21,0,"1,207",0,2,28,175
Brooklyn,047,3,012901,"2,159","1,159",250,4,138,1,4,66,537
Brooklyn,047,3,012902,"1,964","1,263",201,6,101,0,6,70,317
Brooklyn,047,3,013000,"4,792","2,532",79,4,897,1,14,132,"1,133"
Brooklyn,047,3,013100,"3,828","2,139",541,2,249,1,8,124,764
Brooklyn,047,3,013200,"2,239","1,048",13,0,821,0,2,33,322
Brooklyn,047,3,013300,"3,730","2,509",245,6,255,0,9,147,559
Brooklyn,047,3,013400,"3,907","2,550",74,2,575,0,10,89,607
Brooklyn,047,3,013500,"3,596","2,427",223,3,279,0,18,154,492
Brooklyn,047,3,013600,"3,927","2,662",30,7,454,1,7,99,667
Brooklyn,047,3,013700,"3,057","1,949",256,3,144,1,17,107,580
Brooklyn,047,3,013800,"3,168","2,206",47,4,395,1,11,49,455
Brooklyn,047,3,013900,"3,481","2,188",342,1,203,0,12,90,645
Brooklyn,047,3,014000,"1,826","1,444",15,0,150,0,6,25,186
Brooklyn,047,3,014100,"3,017","1,840",121,0,234,2,22,86,712
Brooklyn,047,3,014200,"3,223","2,142",45,9,449,0,9,62,507
Brooklyn,047,3,014300,"3,487","1,613",129,1,251,3,21,75,"1,394"
