GEOid,GEOid2,GEOdisplay_label,HD01_S076,HD02_S076,HD01_S077,HD02_S077,HD01_S078,HD02_S078,HD01_S079,HD02_S079,HD01_S080,HD02_S080,HD01_S081,HD02_S081,HD01_S082,HD02_S082,HD01_S083,HD02_S083,HD01_S084,HD02_S084,HD01_S085,HD02_S085,HD01_S086,HD02_S086,HD01_S087,HD02_S087,HD01_S088,HD02_S088,HD01_S089,HD02_S089,HD01_S090,HD02_S090,HD01_S091,HD02_S091,HD01_S092,HD02_S092,HD01_S093,HD02_S093,HD01_S094,HD02_S094,HD01_S095,HD02_S095,HD01_S096,HD02_S096,HD01_S097,HD02_S097,HD01_S098,HD02_S098,HD01_S099,HD02_S099,HD01_S100,HD02_S100,HD01_S101,HD02_S101,HD01_S102,HD02_S102,HD01_S103,HD02_S103,HD01_S104,HD02_S104,HD01_S105,HD02_S105,HD01_S106,HD02_S106,HD01_S107,HD02_S107,HD01_S108,HD02_S108,HD01_S109,HD02_S109,HD01_S110,HD02_S110,HD01_S111,HD02_S111,HD01_S112,HD02_S112,HD01_S113,HD02_S113,HD01_S114,HD02_S114,HD01_S115,HD02_S115,HD01_S116,HD02_S116,HD01_S117,HD02_S117,HD01_S118,HD02_S118,HD01_S119,HD02_S119,HD01_S120,HD02_S120,HD01_S121,HD02_S121,HD01_S122,HD02_S122,HD01_S123,HD02_S123,HD01_S124,HD02_S124,HD01_S125,HD02_S125,HD01_S126,HD02_S126,HD01_S127,HD02_S127,HD01_S128,HD02_S128,HD01_S129,HD02_S129
1400000US36047000100,36047000100,"Census Tract 1, Kings County, New York",4338,100.0,4249,97.9,3396,78.3,427,9.8,15,0.3,330,7.6,48,1.1,134,3.1,34,0.8,23,0.5,48,1.1,2,0.0,41,0.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,81,1.9,89,2.1,8,0.2,35,0.8,17,0.4,9,0.2,3471,80.0,462,10.7,30,0.7,370,8.5,2,0.0,100,2.3,4338,100.0,347,8.0,35,0.8,130,3.0,17,0.4,165,3.8,3991,92.0,4338,100.0,347,8.0,230,5.3,19,0.4,5,0.1,6,0.1,0,0.0,62,1.4,25,0.6,3991,92.0,3166,73.0,408,9.4,10,0.2,324,7.5,0,0.0,19,0.4,64,1.5
1400000US36047000200,36047000200,"Census Tract 2, Kings County, New York",1470,100.0,1431,97.3,530,36.1,103,7.0,16,1.1,49,3.3,14,1.0,24,1.6,1,0.1,1,0.1,0,0.0,0,0.0,9,0.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,733,49.9,39,2.7,0,0.0,0,0.0,2,0.1,17,1.2,552,37.6,109,7.4,28,1.9,53,3.6,2,0.1,768,52.2,1470,100.0,1277,86.9,471,32.0,434,29.5,6,0.4,366,24.9,193,13.1,1470,100.0,1277,86.9,457,31.1,36,2.4,15,1.0,1,0.1,0,0.0,732,49.8,36,2.4,193,13.1,73,5.0,67,4.6,1,0.1,48,3.3,0,0.0,1,0.1,3,0.2
1400000US36047000301,36047000301,"Census Tract 3.01, Kings County, New York",4259,100.0,4137,97.1,3658,85.9,180,4.2,6,0.1,241,5.7,34,0.8,86,2.0,20,0.5,13,0.3,39,0.9,4,0.1,45,1.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,52,1.2,122,2.9,2,0.0,56,1.3,29,0.7,15,0.4,3769,88.5,215,5.0,9,0.2,313,7.3,12,0.3,68,1.6,4259,100.0,246,5.8,24,0.6,47,1.1,24,0.6,151,3.5,4013,94.2,4259,100.0,246,5.8,175,4.1,3,0.1,3,0.1,4,0.1,0,0.0,42,1.0,19,0.4,4013,94.2,3483,81.8,177,4.2,3,0.1,237,5.6,0,0.0,10,0.2,103,2.4
1400000US36047000501,36047000501,"Census Tract 5.01, Kings County, New York",4247,100.0,4109,96.8,3266,76.9,292,6.9,22,0.5,432,10.2,73,1.7,224,5.3,26,0.6,21,0.5,56,1.3,9,0.2,23,0.5,1,0.0,0,0.0,0,0.0,1,0.0,0,0.0,96,2.3,138,3.2,9,0.2,58,1.4,15,0.4,14,0.3,3381,79.6,341,8.0,57,1.3,498,11.7,3,0.1,124,2.9,4247,100.0,312,7.3,46,1.1,82,1.9,25,0.6,159,3.7,3935,92.7,4247,100.0,312,7.3,199,4.7,16,0.4,3,0.1,0,0.0,0,0.0,81,1.9,13,0.3,3935,92.7,3067,72.2,276,6.5,19,0.4,432,10.2,1,0.0,15,0.4,125,2.9
1400000US36047000502,36047000502,"Census Tract 5.02, Kings County, New York",2512,100.0,2430,96.7,2086,83.0,113,4.5,4,0.2,186,7.4,27,1.1,66,2.6,13,0.5,17,0.7,39,1.6,6,0.2,18,0.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,41,1.6,82,3.3,5,0.2,45,1.8,9,0.4,10,0.4,2156,85.8,131,5.2,14,0.6,235,9.4,2,0.1,57,2.3,2512,100.0,162,6.4,26,1.0,48,1.9,10,0.4,78,3.1,2350,93.6,2512,100.0,162,6.4,101,4.0,4,0.2,1,0.0,3,0.1,0,0.0,34,1.4,19,0.8,2350,93.6,1985,79.0,109,4.3,3,0.1,183,7.3,0,0.0,7,0.3,63,2.5
1400000US36047000700,36047000700,"Census Tract 7, Kings County, New York",3359,100.0,3242,96.5,2885,85.9,109,3.2,2,0.1,198,5.9,38,1.1,58,1.7,31,0.9,18,0.5,32,1.0,2,0.1,19,0.6,5,0.1,0,0.0,4,0.1,0,0.0,1,0.0,43,1.3,117,3.5,0,0.0,56,1.7,31,0.9,15,0.4,2993,89.1,151,4.5,6,0.2,263,7.8,6,0.2,62,1.8,3359,100.0,283,8.4,32,1.0,110,3.3,12,0.4,129,3.8,3076,91.6,3359,100.0,283,8.4,210,6.3,13,0.4,1,0.0,3,0.1,5,0.1,34,1.0,17,0.5,3076,91.6,2675,79.6,96,2.9,1,0.0,195,5.8,0,0.0,9,0.3,100,3.0
1400000US36047000900,36047000900,"Census Tract 9, Kings County, New York",4172,100.0,3965,95.0,3018,72.3,204,4.9,5,0.1,639,15.3,166,4.0,243,5.8,46,1.1,41,1.0,77,1.8,8,0.2,58,1.4,2,0.0,2,0.0,0,0.0,0,0.0,0,0.0,97,2.3,207,5.0,13,0.3,97,2.3,30,0.7,11,0.3,3190,76.5,272,6.5,36,0.9,767,18.4,4,0.1,134,3.2,4172,100.0,325,7.8,35,0.8,107,2.6,19,0.5,164,3.9,3847,92.2,4172,100.0,325,7.8,184,4.4,11,0.3,4,0.1,7,0.2,0,0.0,75,1.8,44,1.1,3847,92.2,2834,67.9,193,4.6,1,0.0,632,15.1,2,0.0,22,0.5,163,3.9
1400000US36047001100,36047001100,"Census Tract 11, Kings County, New York",84,100.0,82,97.6,36,42.9,19,22.6,0,0.0,10,11.9,4,4.8,6,7.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17,20.2,2,2.4,1,1.2,0,0.0,1,1.2,0,0.0,38,45.2,20,23.8,1,1.2,10,11.9,0,0.0,17,20.2,84,100.0,28,33.3,3,3.6,13,15.5,0,0.0,12,14.3,56,66.7,84,100.0,28,33.3,5,6.0,6,7.1,0,0.0,0,0.0,0,0.0,17,20.2,0,0.0,56,66.7,31,36.9,13,15.5,0,0.0,10,11.9,0,0.0,0,0.0,2,2.4
1400000US36047001300,36047001300,"Census Tract 13, Kings County, New York",2275,100.0,2218,97.5,1531,67.3,357,15.7,4,0.2,249,10.9,34,1.5,113,5.0,15,0.7,6,0.3,14,0.6,6,0.3,61,2.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,77,3.4,57,2.5,8,0.4,13,0.6,11,0.5,10,0.4,1582,69.5,382,16.8,22,1.0,263,11.6,2,0.1,90,4.0,2275,100.0,311,13.7,13,0.6,63,2.8,17,0.7,218,9.6,1964,86.3,2275,100.0,311,13.7,187,8.2,23,1.0,3,0.1,6,0.3,0,0.0,73,3.2,19,0.8,1964,86.3,1344,59.1,334,14.7,1,0.0,243,10.7,0,0.0,4,0.2,38,1.7
1400000US36047001500,36047001500,"Census Tract 15, Kings County, New York",3521,100.0,3359,95.4,1350,38.3,1320,37.5,25,0.7,406,11.5,66,1.9,231,6.6,11,0.3,21,0.6,36,1.0,3,0.1,38,1.1,2,0.1,0,0.0,0,0.0,0,0.0,2,0.1,256,7.3,162,4.6,10,0.3,33,0.9,30,0.9,34,1.0,1467,41.7,1396,39.6,52,1.5,449,12.8,13,0.4,318,9.0,3521,100.0,811,23.0,108,3.1,388,11.0,19,0.5,296,8.4,2710,77.0,3521,100.0,811,23.0,361,10.3,111,3.2,4,0.1,7,0.2,2,0.1,244,6.9,82,2.3,2710,77.0,989,28.1,1209,34.3,21,0.6,399,11.3,0,0.0,12,0.3,80,2.3
