POPGROUP.id,Id
POPGROUP.display-label,Population Group
GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_VC02,Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Population 18 to 24 years
HC02_VC02,Male; EDUCATIONAL ATTAINMENT (highest level) - Population 18 to 24 years
HC03_VC02,Female; EDUCATIONAL ATTAINMENT (highest level) - Population 18 to 24 years
HC01_VC03,Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Population 18 to 24 years - Less than high school graduate
HC02_VC03,Male; EDUCATIONAL ATTAINMENT (highest level) - Population 18 to 24 years - Less than high school graduate
HC03_VC03,Female; EDUCATIONAL ATTAINMENT (highest level) - Population 18 to 24 years - Less than high school graduate
HC01_VC04,Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Population 18 to 24 years - High school graduate (incl. equivalency)
HC02_VC04,Male; EDUCATIONAL ATTAINMENT (highest level) - Population 18 to 24 years - High school graduate (incl. equivalency)
HC03_VC04,Female; EDUCATIONAL ATTAINMENT (highest level) - Population 18 to 24 years - High school graduate (incl. equivalency)
HC01_VC05,Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Population 18 to 24 years - Some college or associate degree
HC02_VC05,Male; EDUCATIONAL ATTAINMENT (highest level) - Population 18 to 24 years - Some college or associate degree
HC03_VC05,Female; EDUCATIONAL ATTAINMENT (highest level) - Population 18 to 24 years - Some college or associate degree
HC01_VC06,Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Population 18 to 24 years - Bachelor's degree or higher
HC02_VC06,Male; EDUCATIONAL ATTAINMENT (highest level) - Population 18 to 24 years - Bachelor's degree or higher
HC03_VC06,Female; EDUCATIONAL ATTAINMENT (highest level) - Population 18 to 24 years - Bachelor's degree or higher
HC01_VC07,Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over
HC02_VC07,Male; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over
HC03_VC07,Female; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over
HC01_VC08,Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - Less than 5th grade
HC02_VC08,Male; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - Less than 5th grade
HC03_VC08,Female; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - Less than 5th grade
HC01_VC09,Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - 5th to 8th grade
HC02_VC09,Male; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - 5th to 8th grade
HC03_VC09,Female; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - 5th to 8th grade
HC01_VC10,"Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - 9th to 12th grade, no diploma"
HC02_VC10,"Male; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - 9th to 12th grade, no diploma"
HC03_VC10,"Female; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - 9th to 12th grade, no diploma"
HC01_VC11,Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - High school graduate (incl. equivalency)
HC02_VC11,Male; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - High school graduate (incl. equivalency)
HC03_VC11,Female; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - High school graduate (incl. equivalency)
HC01_VC12,"Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - Some college credit, less than 1 year"
HC02_VC12,"Male; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - Some college credit, less than 1 year"
HC03_VC12,"Female; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - Some college credit, less than 1 year"
HC01_VC13,"Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - 1 or more years of college, no degree"
HC02_VC13,"Male; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - 1 or more years of college, no degree"
HC03_VC13,"Female; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - 1 or more years of college, no degree"
HC01_VC14,Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - Associate degree
HC02_VC14,Male; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - Associate degree
HC03_VC14,Female; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - Associate degree
HC01_VC15,Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - Bachelor's degree
HC02_VC15,Male; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - Bachelor's degree
HC03_VC15,Female; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - Bachelor's degree
HC01_VC16,Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - Master's degree
HC02_VC16,Male; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - Master's degree
